"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания заказа с различными вариантами цвета","456","Создание заказа с цветом: Оба цвета","tests","2025-11-11","passed","2025-11-11","TestOrderCreation","test_order_creation","",""
"Проверка структуры данных заказа","6933","Каждый заказ содержит обязательные поля","tests","2025-11-11","passed","2025-11-11","TestOrderList","test_order_list","",""
"Проверка, что возвращается непустой список","8702","Список заказов не пустой","tests","2025-11-11","passed","2025-11-11","TestOrderList","test_order_list","",""
"При неверном пароле возвращается 404","444","Ошибка при неправильном пароле","tests","2025-11-11","passed","2025-11-11","TestCourierLogin","test_courier_login","",""
"Логин с фейковыми учётными данными","457","Ошибка для несуществующего пользователя","tests","2025-11-11","passed","2025-11-11","TestCourierLogin","test_courier_login","",""
"Проверка успешной авторизации","445","Курьер может авторизоваться","tests","2025-11-11","passed","2025-11-11","TestCourierLogin","test_courier_login","",""
"Проверка создания заказа с различными вариантами цвета","525","Создание заказа с цветом: Без цвета","tests","2025-11-11","passed","2025-11-11","TestOrderCreation","test_order_creation","",""
"Проверка ошибки при создании с уже существующим логином","459","Нельзя создать курьера с существующим логином","tests","2025-11-11","passed","2025-11-11","TestCourierCreation","test_courier_creation","",""
"Проверка успешного создания курьера с валидными данными","1372","Курьера можно создать","tests","2025-11-11","passed","2025-11-11","TestCourierCreation","test_courier_creation","",""
"При неверном логине возвращается 404","422","Ошибка при неправильном логине","tests","2025-11-11","passed","2025-11-11","TestCourierLogin","test_courier_login","",""
"Проверка создания курьера без поля login","437","Нельзя создать курьера без логина","tests","2025-11-11","passed","2025-11-11","TestCourierCreation","test_courier_creation","",""
"Проверка создания заказа с различными вариантами цвета","456","Создание заказа с цветом: Один цвет BLACK","tests","2025-11-11","passed","2025-11-11","TestOrderCreation","test_order_creation","",""
"Проверка, что API возвращает список заказов","7699","В ответ возвращается список заказов","tests","2025-11-11","passed","2025-11-11","TestOrderList","test_order_list","",""
"Проверка, что нельзя создать курьера с существующим логином","475","Нельзя создать двух одинаковых курьеров","tests","2025-11-11","passed","2025-11-11","TestCourierCreation","test_courier_creation","",""
"Проверка создания курьера без поля password","448","Нельзя создать курьера без пароля","tests","2025-11-11","passed","2025-11-11","TestCourierCreation","test_courier_creation","",""
"Проверка создания заказа с различными вариантами цвета","453","Создание заказа с цветом: Один цвет GREY","tests","2025-11-11","passed","2025-11-11","TestOrderCreation","test_order_creation","",""
"Проверка на отсутствие обязательных полей","884","Для авторизации нужны все обязательные поля","tests","2025-11-11","passed","2025-11-11","TestCourierLogin","test_courier_login","",""
